@RELATION dam_risk_forecast_30days

@ATTRIBUTE capacity NUMERIC
@ATTRIBUTE storage NUMERIC
@ATTRIBUTE active_storage NUMERIC
@ATTRIBUTE dead_storage NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE percent_storage NUMERIC
@ATTRIBUTE inflow NUMERIC
@ATTRIBUTE outflow NUMERIC
@ATTRIBUTE month NUMERIC
@ATTRIBUTE dam_id {100104,100105,100106,100107,100108,100201,100202,100206,100207,100208,100209,100210,100211,100301,100302,100303,100501,100502,100503,100504,100505,100514,100602,200101,200102,200103,200203,200204,200205,200212,200401,200402,200601,200603,200604}
@ATTRIBUTE dam_name {เขื่อนกระเสียว,เขื่อนกิ่วคอหมา,เขื่อนกิ่วลม,เขื่อนขุนด่านปราการชล,เขื่อนคลองสียัด,เขื่อนจุฬาภรณ์,เขื่อนทับเสลา,เขื่อนนฤบดินทรจินดา,เขื่อนน้ำพุง,เขื่อนน้ำอูน,เขื่อนบางพระ,เขื่อนบางลาง,เขื่อนประแสร์,เขื่อนปราณบุรี,เขื่อนป่าสักชลสิทธิ์,เขื่อนภูมิพล,เขื่อนมูลบน,เขื่อนรัชชประภา,เขื่อนลำตะคอง,เขื่อนลำนางรอง,เขื่อนลำปาว,เขื่อนลำพระเพลิง,เขื่อนลำแชะ,เขื่อนวชิราลงกรณ,เขื่อนศรีนครินทร์,เขื่อนสิริกิติ์,เขื่อนสิรินธร,เขื่อนหนองปลาไหล,เขื่อนห้วยหลวง,เขื่อนอุบลรัตน์,เขื่อนแก่งกระจาน,เขื่อนแควน้อยบำรุงแดน,เขื่อนแม่กวงอุดมธารา,เขื่อนแม่งัดสมบูรณ์ชล,เขื่อนแม่มอก}
@ATTRIBUTE region {ภาคกลาง,ภาคตะวันตก,ภาคตะวันออก,ภาคตะวันออกเฉียงเหนือ,ภาคเหนือ,ภาคใต้}
@ATTRIBUTE owner {กรมชลประทาน,การไฟฟ้า}
@ATTRIBUTE season {rainy,summer,winter}
@ATTRIBUTE risk_class_30d {drought,normal,flood}

@DATA
295.0000,263.0000,249.0000,14.0000,210.2700,79.9500,0.1960,0.1060,1.0000,100104,เขื่อนแม่กวงอุดมธารา,ภาคเหนือ,กรมชลประทาน,winter,normal
295.0000,263.0000,249.0000,14.0000,210.3600,79.9800,0.2080,0.1070,1.0000,100104,เขื่อนแม่กวงอุดมธารา,ภาคเหนือ,กรมชลประทาน,winter,normal
295.0000,263.0000,249.0000,14.0000,210.4600,80.0200,0.1850,0.1070,1.0000,100104,เขื่อนแม่กวงอุดมธารา,ภาคเหนือ,กรมชลประทาน,winter,normal
295.0000,263.0000,249.0000,14.0000,210.5400,80.0500,0.1870,0.1080,1.0000,100104,เขื่อนแม่กวงอุดมธารา,ภาคเหนือ,กรมชลประทาน,winter,normal
295.0000,263.0000,249.0000,14.0000,210.6200,80.0800,0.1850,0.1070,1.0000,100104,เขื่อนแม่กวงอุดมธารา,ภาคเหนือ,กรมชลประทาน,winter,normal
295.0000,263.0000,249.0000,14.0000,210.7000,80.1100,0.1860,0.1080,1.0000,100104,เขื่อนแม่กวงอุดมธารา,ภาคเหนือ,กรมชลประทาน,winter,normal
295.0000,263.0000,249.0000,14.0000,210.7700,80.1400,0.2210,0.1080,1.0000,100104,เขื่อนแม่กวงอุดมธารา,ภาคเหนือ,กรมชลประทาน,winter,normal
295.0000,263.0000,249.0000,14.0000,210.8900,80.1900,0.2180,0.1060,1.0000,100104,เขื่อนแม่กวงอุดมธารา,ภาคเหนือ,กรมชลประทาน,winter,normal
295.0000,263.0000,249.0000,14.0000,211.0000,80.2300,0.1950,0.1060,1.0000,100104,เขื่อนแม่กวงอุดมธารา,ภาคเหนือ,กรมชลประทาน,winter,normal
295.0000,263.0000,249.0000,14.0000,211.0900,80.2600,0.1840,0.1060,1.0000,100104,เขื่อนแม่กวงอุดมธารา,ภาคเหนือ,กรมชลประทาน,winter,normal
295.0000,263.0000,249.0000,14.0000,211.1700,80.2900,0.1420,0.1080,1.0000,100104,เขื่อนแม่กวงอุดมธารา,ภาคเหนือ,กรมชลประทาน,winter,normal
