"dam_id","dam_name","owner","region","capacity","storage","active_storage","dead_storage"
"100104","เขื่อนแม่กวงอุดมธารา","กรมชลประทาน","ภาคเหนือ","295","263","249","14"
"100105","เขื่อนกิ่วลม","กรมชลประทาน","ภาคเหนือ","106.22","106.22","102.67","3.55"
"100106","เขื่อนกิ่วคอหมา","กรมชลประทาน","ภาคเหนือ","208.6","170","163.8","6.2"
"100107","เขื่อนแควน้อยบำรุงแดน","กรมชลประทาน","ภาคเหนือ","1080","939","896","43"
"100108","เขื่อนแม่มอก","กรมชลประทาน","ภาคเหนือ","110","110","94.1","15.9"
"100201","เขื่อนห้วยหลวง","กรมชลประทาน","ภาคตะวันออกเฉียงเหนือ","135.57","135.57","128.98","6.59"
"100202","เขื่อนน้ำอูน","กรมชลประทาน","ภาคตะวันออกเฉียงเหนือ","780","520","475","45"
"100206","เขื่อนลำปาว","กรมชลประทาน","ภาคตะวันออกเฉียงเหนือ","2450","1980","1880","100"
"100207","เขื่อนลำตะคอง","กรมชลประทาน","ภาคตะวันออกเฉียงเหนือ","445","314.49","291.79","22.7"
"100208","เขื่อนลำพระเพลิง","กรมชลประทาน","ภาคตะวันออกเฉียงเหนือ","242","155","153.6","1.4"
"100209","เขื่อนมูลบน","กรมชลประทาน","ภาคตะวันออกเฉียงเหนือ","350","141","134","7"
"100210","เขื่อนลำแชะ","กรมชลประทาน","ภาคตะวันออกเฉียงเหนือ","325","275","268","7"
"100211","เขื่อนลำนางรอง","กรมชลประทาน","ภาคตะวันออกเฉียงเหนือ","196.67","121.41","118.41","3"
"100301","เขื่อนป่าสักชลสิทธิ์","กรมชลประทาน","ภาคกลาง","1036.16","871.5","871.5","14.64"
"100302","เขื่อนทับเสลา","กรมชลประทาน","ภาคกลาง","190","160","143","17"
"100303","เขื่อนกระเสียว","กรมชลประทาน","ภาคกลาง","390","299","259","40"
"100501","เขื่อนขุนด่านปราการชล","กรมชลประทาน","ภาคตะวันออก","224.9","224","219.48","4.52"
"100502","เขื่อนคลองสียัด","กรมชลประทาน","ภาคตะวันออก","450","420","390","30"
"100503","เขื่อนบางพระ","กรมชลประทาน","ภาคตะวันออก","127","117","104.94","12.06"
"100504","เขื่อนหนองปลาไหล","กรมชลประทาน","ภาคตะวันออก","205.85","163.75","150.25","13.5"
"100505","เขื่อนประแสร์","กรมชลประทาน","ภาคตะวันออก","322","295","275","20"
"100514","เขื่อนนฤบดินทรจินดา","กรมชลประทาน","ภาคตะวันออก","338","295","280.75","14.25"
"100602","เขื่อนปราณบุรี","กรมชลประทาน","ภาคใต้","490","391","373.41","17.59"
"200101","เขื่อนภูมิพล","การไฟฟ้า","ภาคเหนือ","13462","13462","9662","3800"
"200102","เขื่อนสิริกิติ์","การไฟฟ้า","ภาคเหนือ","10508","9510","6660","2850"
"200103","เขื่อนแม่งัดสมบูรณ์ชล","กรมชลประทาน","ภาคเหนือ","323","265","253","12"
"200203","เขื่อนน้ำพุง","การไฟฟ้า","ภาคตะวันออกเฉียงเหนือ","200","165","157","8"
"200204","เขื่อนจุฬาภรณ์","การไฟฟ้า","ภาคตะวันออกเฉียงเหนือ","181","164","127","37"
"200205","เขื่อนอุบลรัตน์","การไฟฟ้า","ภาคตะวันออกเฉียงเหนือ","2431","2431","1850","581"
"200212","เขื่อนสิรินธร","การไฟฟ้า","ภาคตะวันออกเฉียงเหนือ","1966","1966","1134.62","831.38"
"200401","เขื่อนศรีนครินทร์","การไฟฟ้า","ภาคตะวันตก","18770","17745","7480","10265"
"200402","เขื่อนวชิราลงกรณ","การไฟฟ้า","ภาคตะวันตก","11000","8860","5848","3012"
"200601","เขื่อนแก่งกระจาน","กรมชลประทาน","ภาคใต้","900","710","645","65"
"200603","เขื่อนรัชชประภา","การไฟฟ้า","ภาคใต้","6144","5638.84","4287.3","1351.54"
"200604","เขื่อนบางลาง","การไฟฟ้า","ภาคใต้","1590","1454.36","1178.08","276.28"
